8.000000000000000444e-01,7.954999999999998739e-01,7.909999999999999254e-01,7.864999999999999769e-01,7.820000000000000284e-01,7.775000000000000799e-01,7.729999999999999094e-01,7.684999999999999609e-01,7.640000000000000124e-01,7.595000000000000639e-01,7.550000000000001155e-01,7.504999999999999449e-01,7.459999999999999964e-01,7.414999999999998259e-01,7.370000000000000995e-01,7.325000000000001510e-01,7.279999999999999805e-01,7.235000000000000320e-01,7.190000000000000835e-01,7.144999999999999130e-01,7.099999999999999645e-01,7.055000000000000160e-01,7.009999999999998455e-01,6.965000000000000080e-01,6.919999999999999485e-01,6.875000000000000000e-01,6.829999999999999405e-01,6.784999999999999920e-01,6.739999999999999325e-01,6.694999999999999840e-01,6.650000000000000355e-01,6.605000000000000870e-01,6.560000000000001386e-01,6.514999999999999680e-01,6.470000000000000195e-01,6.425000000000000711e-01,6.380000000000001226e-01,6.334999999999999520e-01,6.290000000000000036e-01,6.245000000000000551e-01,6.199999999999999956e-01,6.154999999999999361e-01,6.109999999999999876e-01,6.065000000000000391e-01,6.020000000000000906e-01,5.975000000000000311e-01,5.929999999999999716e-01,5.885000000000000231e-01,5.840000000000000746e-01,5.795000000000000151e-01,5.749999999999999556e-01
7.985057588645934068e-01,7.940086432285113904e-01,7.895115275924295961e-01,7.850144119563478018e-01,7.805172963202660075e-01,7.760201806841842131e-01,7.715230650481024188e-01,7.670259494120206245e-01,7.625288337759386081e-01,7.580317181398568138e-01,7.535346025037750195e-01,7.490374868676932252e-01,7.445403712316112088e-01,7.400432555955296365e-01,7.355461399594476202e-01,7.310490243233658259e-01,7.265519086872840315e-01,7.220547930512022372e-01,7.175576774151204429e-01,7.130605617790384265e-01,7.085634461429566322e-01,7.040663305068748379e-01,6.995692148707930436e-01,6.950720992347112492e-01,6.905749835986294549e-01,6.860778679625474386e-01,6.815807523264656442e-01,6.770836366903838499e-01,6.725865210543019446e-01,6.680894054182200392e-01,6.635922897821384669e-01,6.590951741460564506e-01,6.545980585099745452e-01,6.501009428738928619e-01,6.456038272378110676e-01,6.411067116017290513e-01,6.366095959656473680e-01,6.321124803295654626e-01,6.276153646934836683e-01,6.231182490574017629e-01,6.186211334213198576e-01,6.141240177852380633e-01,6.096269021491562690e-01,6.051297865130744746e-01,6.006326708769925693e-01,5.961355552409106640e-01,5.916384396048289807e-01,5.871413239687470753e-01,5.826442083326653920e-01,5.781470926965834867e-01,5.736499770605016923e-01
7.970232163816322046e-01,7.925290404554720114e-01,7.880348645293118182e-01,7.835406886031517359e-01,7.790465126769915427e-01,7.745523367508313495e-01,7.700581608246712673e-01,7.655639848985110740e-01,7.610698089723508808e-01,7.565756330461907986e-01,7.520814571200306053e-01,7.475872811938704121e-01,7.430931052677103299e-01,7.385989293415502477e-01,7.341047534153899434e-01,7.296105774892298612e-01,7.251164015630696680e-01,7.206222256369094747e-01,7.161280497107492815e-01,7.116338737845891993e-01,7.071396978584290061e-01,7.026455219322688128e-01,6.981513460061087306e-01,6.936571700799485374e-01,6.891629941537883441e-01,6.846688182276282619e-01,6.801746423014680687e-01,6.756804663753079865e-01,6.711862904491476822e-01,6.666921145229876000e-01,6.621979385968275178e-01,6.577037626706672135e-01,6.532095867445071313e-01,6.487154108183469381e-01,6.442212348921867449e-01,6.397270589660266626e-01,6.352328830398665804e-01,6.307387071137063872e-01,6.262445311875461940e-01,6.217503552613861117e-01,6.172561793352258075e-01,6.127620034090656143e-01,6.082678274829056431e-01,6.037736515567453388e-01,5.992794756305851456e-01,5.947852997044249523e-01,5.902911237782648701e-01,5.857969478521047879e-01,5.813027719259444837e-01,5.768085959997844014e-01,5.723144200736243192e-01
7.955526492498995461e-01,7.910614695560055365e-01,7.865702898621117489e-01,7.820791101682180724e-01,7.775879304743241738e-01,7.730967507804304972e-01,7.686055710865364876e-01,7.641143913926427000e-01,7.596232116987489125e-01,7.551320320048551249e-01,7.506408523109613373e-01,7.461496726170672167e-01,7.416584929231736512e-01,7.371673132292797526e-01,7.326761335353860760e-01,7.281849538414920664e-01,7.236937741475981678e-01,7.192025944537044913e-01,7.147114147598107037e-01,7.102202350659168051e-01,7.057290553720229065e-01,7.012378756781293410e-01,6.967466959842353313e-01,6.922555162903416548e-01,6.877643365964477562e-01,6.832731569025539686e-01,6.787819772086600700e-01,6.742907975147662825e-01,6.697996178208723839e-01,6.653084381269787073e-01,6.608172584330846977e-01,6.563260787391909101e-01,6.518348990452972336e-01,6.473437193514034460e-01,6.428525396575095474e-01,6.383613599636156488e-01,6.338701802697219723e-01,6.293790005758281847e-01,6.248878208819342861e-01,6.203966411880403875e-01,6.159054614941467110e-01,6.114142818002528124e-01,6.069231021063589138e-01,6.024319224124652372e-01,5.979407427185713386e-01,5.934495630246776621e-01,5.889583833307837635e-01,5.844672036368898649e-01,5.799760239429960773e-01,5.754848442491022897e-01,5.709936645552085022e-01
7.940943399288467042e-01,7.896062141849369276e-01,7.851180884410275951e-01,7.806299626971184846e-01,7.761418369532089301e-01,7.716537112092993755e-01,7.671655854653900430e-01,7.626774597214804885e-01,7.581893339775711560e-01,7.537012082336616015e-01,7.492130824897522690e-01,7.447249567458427144e-01,7.402368310019331599e-01,7.357487052580238274e-01,7.312605795141144949e-01,7.267724537702049403e-01,7.222843280262953858e-01,7.177962022823858312e-01,7.133080765384764987e-01,7.088199507945671662e-01,7.043318250506576117e-01,6.998436993067482792e-01,6.953555735628387247e-01,6.908674478189293922e-01,6.863793220750200597e-01,6.818911963311105051e-01,6.774030705872009506e-01,6.729149448432916181e-01,6.684268190993821745e-01,6.639386933554727310e-01,6.594505676115632875e-01,6.549624418676538440e-01,6.504743161237442894e-01,6.459861903798349569e-01,6.414980646359254024e-01,6.370099388920160699e-01,6.325218131481065154e-01,6.280336874041971829e-01,6.235455616602877393e-01,6.190574359163782958e-01,6.145693101724688523e-01,6.100811844285594088e-01,6.055930586846498542e-01,6.011049329407405217e-01,5.966168071968309672e-01,5.921286814529216347e-01,5.876405557090120801e-01,5.831524299651027476e-01,5.786643042211931931e-01,5.741761784772838606e-01,5.696880527333745281e-01
7.926485790232714601e-01,7.881635662018900979e-01,7.836785533805086246e-01,7.791935405591273733e-01,7.747085277377460111e-01,7.702235149163646488e-01,7.657385020949831755e-01,7.612534892736017023e-01,7.567684764522203400e-01,7.522834636308390888e-01,7.477984508094577265e-01,7.433134379880762532e-01,7.388284251666950020e-01,7.343434123453135287e-01,7.298583995239321665e-01,7.253733867025508042e-01,7.208883738811693309e-01,7.164033610597878576e-01,7.119183482384067174e-01,7.074333354170252441e-01,7.029483225956438819e-01,6.984633097742624086e-01,6.939782969528811574e-01,6.894932841314999061e-01,6.850082713101184329e-01,6.805232584887370706e-01,6.760382456673554863e-01,6.715532328459742351e-01,6.670682200245928728e-01,6.625832072032115105e-01,6.580981943818301483e-01,6.536131815604487860e-01,6.491281687390674238e-01,6.446431559176860615e-01,6.401581430963046992e-01,6.356731302749232260e-01,6.311881174535418637e-01,6.267031046321606125e-01,6.222180918107791392e-01,6.177330789893976659e-01,6.132480661680163037e-01,6.087630533466349414e-01,6.042780405252535791e-01,5.997930277038722169e-01,5.953080148824908546e-01,5.908230020611094924e-01,5.863379892397280191e-01,5.818529764183467679e-01,5.773679635969654056e-01,5.728829507755838213e-01,5.683979379542024590e-01
7.912156610918585908e-01,7.867338212762323701e-01,7.822519814606059274e-01,7.777701416449794847e-01,7.732883018293529309e-01,7.688064620137267102e-01,7.643246221981004895e-01,7.598427823824739358e-01,7.553609425668472710e-01,7.508791027512209393e-01,7.463972629355946076e-01,7.419154231199681648e-01,7.374335833043418331e-01,7.329517434887153904e-01,7.284699036730890587e-01,7.239880638574626159e-01,7.195062240418360622e-01,7.150243842262097305e-01,7.105425444105832877e-01,7.060607045949569560e-01,7.015788647793305133e-01,6.970970249637040705e-01,6.926151851480778499e-01,6.881333453324512961e-01,6.836515055168248534e-01,6.791696657011984106e-01,6.746878258855720789e-01,6.702059860699456362e-01,6.657241462543191934e-01,6.612423064386928617e-01,6.567604666230664190e-01,6.522786268074399763e-01,6.477967869918136445e-01,6.433149471761872018e-01,6.388331073605607591e-01,6.343512675449343163e-01,6.298694277293078736e-01,6.253875879136815419e-01,6.209057480980550991e-01,6.164239082824286564e-01,6.119420684668022137e-01,6.074602286511757709e-01,6.029783863360195229e-01,5.984965465133174067e-01,5.940147066906156237e-01,5.895328668679137296e-01,5.850510270452117245e-01,5.805691872225099415e-01,5.760873473998080474e-01,5.716055075771060423e-01,5.671236677544041482e-01
7.897958962700216690e-01,7.853172912896637659e-01,7.808386863093058627e-01,7.763600813289479596e-01,7.718814763485899455e-01,7.674028713682321534e-01,7.629242663878741393e-01,7.584456614075163472e-01,7.539670564271584441e-01,7.494884514468004300e-01,7.450098464664426379e-01,7.405312414860847348e-01,7.360526365057267206e-01,7.315740315253688175e-01,7.270954265450109144e-01,7.226168215646531223e-01,7.181382165842951082e-01,7.136596116039370941e-01,7.091810066235794130e-01,7.047024016432212878e-01,7.002237966628634958e-01,6.957451916825055926e-01,6.912665867021476895e-01,6.867879817217897864e-01,6.823093767414318833e-01,6.778307717610739802e-01,6.733521667807159661e-01,6.688735618003581740e-01,6.643949568200002709e-01,6.599163518396423678e-01,6.554377468592843536e-01,6.509591418789264505e-01,6.464805368985686584e-01,6.420019319182106443e-01,6.375233269378527412e-01,6.330447219574948381e-01,6.285661169771369350e-01,6.240875119967789209e-01,6.196089070164211288e-01,6.151303020360630036e-01,6.106516970557053225e-01,6.061730920753473084e-01,6.016944870949895163e-01,5.972158821146315022e-01,5.927372771342735991e-01,5.882586721539158070e-01,5.837800671735577929e-01,5.793014621931998898e-01,5.748228572128419867e-01,5.703442522324841946e-01,5.658656472521261804e-01
7.883895903794522209e-01,7.839142828484519931e-01,7.794389753174522095e-01,7.749636677864524259e-01,7.704883602554524202e-01,7.660130527244524146e-01,7.615377451934526309e-01,7.570624376624528473e-01,7.525871301314528417e-01,7.481118226004526139e-01,7.436365150694528303e-01,7.391612075384530467e-01,7.346859000074530410e-01,7.302105924764530354e-01,7.257352849454530297e-01,7.212599774144532461e-01,7.167846698834532404e-01,7.123093623524534568e-01,7.078340548214534511e-01,7.033587472904534454e-01,6.988834397594536618e-01,6.944081322284536562e-01,6.899328246974538725e-01,6.854575171664538669e-01,6.809822096354538612e-01,6.765069021044539666e-01,6.720315945734539609e-01,6.675562870424540662e-01,6.630809795114540606e-01,6.586056719804541659e-01,6.541303644494541603e-01,6.496550569184544877e-01,6.451797493874544820e-01,6.407044418564545873e-01,6.362291343254545817e-01,6.317538267944545760e-01,6.272785192634546814e-01,6.228032117324548977e-01,6.183279042014548921e-01,6.138525966704548864e-01,6.093772891394551028e-01,6.049019816084550971e-01,6.004266740774552025e-01,5.959513665464553078e-01,5.914760590154553022e-01,5.870007514844554075e-01,5.825254439534554018e-01,5.780501364224555072e-01,5.735748288914556126e-01,5.690995213604556069e-01,5.646242138294559343e-01
7.869970643178456626e-01,7.825251183489658757e-01,7.780531723800858668e-01,7.735812264112063019e-01,7.691092804423265150e-01,7.646373344734467281e-01,7.601653885045669412e-01,7.556934425356871543e-01,7.512214965668073674e-01,7.467495505979275805e-01,7.422776046290477936e-01,7.378056586601682287e-01,7.333337126912884418e-01,7.288617667224086549e-01,7.243898207535288680e-01,7.199178747846490811e-01,7.154459288157692942e-01,7.109739828468895073e-01,7.065020368780097204e-01,7.020300909091299335e-01,6.975581449402501466e-01,6.930861989713703597e-01,6.886142530024907948e-01,6.841423070336110079e-01,6.796703610647312210e-01,6.751984150958513231e-01,6.707264691269716472e-01,6.662545231580918603e-01,6.617825771892120734e-01,6.573106312203322865e-01,6.528386852514524996e-01,6.483667392825728237e-01,6.438947933136931479e-01,6.394228473448132499e-01,6.349509013759335740e-01,6.304789554070535651e-01,6.260070094381740002e-01,6.215350634692941023e-01,6.170631175004144264e-01,6.125911715315346395e-01,6.081192255626548526e-01,6.036472795937750657e-01,5.991753336248952788e-01,5.947033876560154919e-01,5.902314416871358160e-01,5.857594957182560291e-01,5.812875497493763532e-01,5.768156037804964553e-01,5.723436578116167794e-01,5.678717118427369925e-01,5.633997658738572056e-01
